-0.240375 -9.03313 3.69589 0.266604
0.243396 1.61517 0.528462 3.30658
3.77127 -0.0090426 0.100069 -13.8767
-0.418729 -1.05747 3.19115 -1.38677
-0.604345 -4.42009 2.02117 -0.489185
0.814822 1.0947 -1.01397 3.88839
-0.0550417 -1.45782 -0.00434699 -0.810687
0.446028 0.438564 0.158162 -1.14611
-0.672215 -1.58278 0.196034 -0.26757
12.2517 0.519631 2.13135 0.785517
21.4077 -5.18961 0.711015 -6.16633
0.233932 0.508294 -0.472268 -1.27387
0.240186 0.16778 -0.303502 0.184905
2.11978 -5.20178 -1.39859 -0.132786
2.26356 0.621111 -1.55923 -1.77555
-1.84526 6.08899 -5.05199 0.248975
-1.77581 1.08273 -6.94725 5.27758
0.887774 -4.00738 0.282401 -0.861411
0.802542 1.33234 -21.7976 0.043464
-2.10699 0.184008 -3.23044 1.12286
-3.23002 3.77791 -0.169756 0.357469
1.83003 0.0901651 2.62704 -0.627235
0.133369 -0.399345 1.03202 0.200349
-1.61275 7.44743 -0.103722 1.1861
-0.607668 85.8936 0.634996 10.656
0.980682 -0.036479 0.558526 -0.421988
0.822658 0.746918 4.18554 -0.0797114
-0.655093 -0.234981 1.35056 -0.463758
1.33546 1.63548 -0.561657 -5.73738
-4.46082 1.14271 0.434587 0.95653
-4.94153 -138.352 -1.02818 0.0881961
-0.70353 2.40942 8.38857 -0.653241
-0.804476 -0.754608 0.940358 -0.897913
3.5452 0.350316 -0.734057 -0.38072
-0.600745 -0.970682 -1.45037 0.585428
-0.290732 -1.0596 -0.64599 0.198385
0.0790105 0.712726 -27.9486 -0.410653
-0.785306 -3.31898 -2.04157 -0.611848
18.1117 6.31649 1.10137 -1.01187
-0.435768 1.33263 -2.01954 -1.08162
4.08923 1.88584 0.0508317 -0.0448181
0.802608 2.52151 0.0549604 0.382573
-2.70295 0.0499498 0.267223 -3.75943
0.193881 1.66361 -1.64471 -0.751918
-1.488 0.176931 1.6377 -1.06093
2.04551 0.48841 0.639639 4.40319
7.51493 -0.540869 -0.906207 1.99615
-0.754679 4.59963 0.181368 -0.604354
-0.158418 3.0341 0.417693 0.94175
0.417267 -0.729755 0.516685 1.61595
-0.406372 -2.59944 1.46195 23.1307
0.338 -0.962552 0.924896 -0.0686368
-0.28111 -0.671215 1.16907 -2.61929
0.187438 2.04792 -1.02046 -0.504558
1.37758 1.29828 -0.942055 -2.16914
-1.73599 1.98 2.82919 -0.208743
-0.150602 -0.437743 2.38021 0.699733
15.7509 -0.458766 -0.206736 0.601343
-1.47725 -2.11053 -2.07627 -0.622014
0.0466596 -1.72868 -9.17588 -0.502103
-2.56862 2.02291 -4.01811 -2.30219
0.615937 -0.369573 0.481356 0.595436
